mutation,operation
0,<nop_a>
1,<nop_b>
2,<nop_c>
3,<nop_x>
4,<mov_head>
5,<if_label>
6,<h_search>
7,<nand>
8,<push>
9,<pop>
10,<swap>
11,<inc>
12,<dec>
13,<tx_msg>
14,<tx_msg_check_task>
15,<rx_msg>
16,<bc_msg>
17,<bc_msg_check_task>
18,<rotate>
19,<rotate_cw>
20,<rotate_ccw>
21,<if_less>
22,<h_alloc>
23,<h_copy>
24,<h_divide_local>
25,<fixed_input>
26,<output>
27,<donate_res_to_group>
28,<if_equal>
29,<if_not_equal>
30,<jump_head>
31,<is_neighbor>
32,<h_divide_remote>
33,<become_soma>
34,<if_germ>
35,<if_soma>
36,<if_res_more_than_thresh>
37,<if_res_less_than_thresh>